"","TFI.PA.Open","TFI.PA.High","TFI.PA.Low","TFI.PA.Close","TFI.PA.Volume","TFI.PA.Adjusted"
"2021-03-18",7.71,7.78,7.685,7.72,238041,7.296599
"2021-03-19",7.685,7.755,7.615,7.745,310254,7.320228
"2021-03-22",7.735,7.81,7.65,7.765,235609,7.339131
"2021-03-23",7.715,7.855,7.67,7.83,309022,7.400567
"2021-03-24",7.735,7.755,7.6,7.71,343613,7.287148
"2021-03-25",7.68,7.895,7.665,7.85,353238,7.41947
"2021-03-26",7.89,7.965,7.8,7.885,292261,7.45255
"2021-03-29",7.88,7.91,7.795,7.82,153915,7.391115
"2021-03-30",7.885,7.9,7.83,7.875,239069,7.443099
"2021-03-31",7.855,7.9,7.755,7.77,339252,7.343857
"2021-04-01",7.78,7.9,7.74,7.85,248067,7.41947
"2021-04-06",8.13,8.23,8.065,8.15,620215,7.703016
"2021-04-07",8.175,8.35,8.175,8.24,280225,7.78808
"2021-04-08",8.265,8.31,8.165,8.2,285601,7.750274
"2021-04-09",8.19,8.23,8.135,8.185,210385,7.736097
"2021-04-12",8.16,8.315,8.14,8.25,237050,7.797532
"2021-04-13",8.28,8.435,8.25,8.335,378145,7.87787
"2021-04-14",8.3,8.3,8.13,8.195,243556,7.745548
"2021-04-15",8.25,8.295,8.16,8.185,185918,7.736097
"2021-04-16",8.165,8.245,8.165,8.215,172785,7.764452
"2021-04-19",8.24,8.25,8.13,8.15,151156,7.703016
"2021-04-20",8.12,8.145,7.89,7.945,394938,7.50926
"2021-04-21",7.955,7.96,7.82,7.88,270675,7.447824
"2021-04-22",7.93,7.965,7.865,7.925,365388,7.490356
"2021-04-23",8,8.085,7.965,8.085,277543,7.641582
"2021-04-26",8.125,8.285,8.08,8.2,283991,7.750274
"2021-04-27",8.195,8.195,7.995,8.085,361638,7.641582
"2021-04-28",8.2,8.2,8.065,8.11,237693,7.66521
"2021-04-29",8.41,8.655,8.365,8.41,802464,7.948757
"2021-04-30",8.475,8.5,8.085,8.205,786985,7.755
"2021-05-03",7.77,8.225,7.75,8.195,505413,8.195
"2021-05-04",8.25,8.35,8.21,8.26,860754,8.26
"2021-05-05",8.32,8.56,8.275,8.505,599153,8.505
"2021-05-06",8.515,8.535,8.215,8.35,574675,8.35
"2021-05-07",8.46,8.48,8.325,8.39,509466,8.39
"2021-05-10",8.525,8.7,8.375,8.47,482222,8.47
"2021-05-11",8.37,8.45,8.26,8.325,376550,8.325
"2021-05-12",8.315,8.35,8.155,8.22,213704,8.22
"2021-05-13",8.15,8.295,8.035,8.265,212883,8.265
"2021-05-14",8.27,8.36,8.2,8.35,158753,8.35
"2021-05-17",8.375,8.4,8.33,8.355,211017,8.355
"2021-05-18",8.84,9.235,8.79,8.95,1465044,8.95
"2021-05-19",8.99,8.99,8.62,8.67,711963,8.67
"2021-05-20",8.715,8.745,8.365,8.59,558354,8.59
"2021-05-21",8.585,8.62,8.45,8.495,255923,8.495
"2021-05-24",8.51,8.52,8.355,8.415,268654,8.415
"2021-05-25",8.45,8.47,8.38,8.405,387104,8.405
"2021-05-26",8.47,8.53,8.33,8.53,284742,8.53
"2021-05-27",8.54,8.57,8.48,8.515,424532,8.515
"2021-05-28",8.58,8.625,8.53,8.58,201875,8.58
"2021-05-31",8.595,8.595,8.47,8.55,133304,8.55
"2021-06-01",8.59,8.645,8.54,8.645,297825,8.645
"2021-06-02",8.68,8.7,8.455,8.52,290969,8.52
"2021-06-03",8.55,8.55,8.48,8.5,208170,8.5
"2021-06-04",8.54,8.585,8.455,8.5,161181,8.5
"2021-06-07",8.5,8.57,8.47,8.55,192372,8.55
"2021-06-08",8.56,8.655,8.545,8.65,228546,8.65
"2021-06-09",8.545,8.61,8.43,8.475,243648,8.475
"2021-06-10",8.5,8.5,8.39,8.405,190255,8.405
"2021-06-11",8.41,8.45,8.365,8.415,163903,8.415
"2021-06-14",8.445,8.46,8.365,8.37,171977,8.37
"2021-06-15",8.395,8.395,8.295,8.32,182394,8.32
"2021-06-16",8.335,8.335,8.125,8.165,359342,8.165
"2021-06-17",8.15,8.205,8.05,8.095,230868,8.095
"2021-06-18",8.125,8.235,8.08,8.165,406403,8.165
"2021-06-21",8.29,8.465,8.15,8.455,427569,8.455
"2021-06-22",8.475,8.545,8.335,8.44,364539,8.44
"2021-06-23",8.49,8.49,8.37,8.45,229222,8.45
"2021-06-24",8.36,8.555,8.33,8.52,245828,8.52
"2021-06-25",8.535,8.61,8.505,8.555,218040,8.555
"2021-06-28",8.565,8.575,8.425,8.44,190012,8.44
"2021-06-29",8.42,8.51,8.335,8.48,223528,8.48
"2021-06-30",8.5,8.58,8.345,8.525,202764,8.525
"2021-07-01",8.49,8.615,8.48,8.595,203850,8.595
"2021-07-02",8.62,8.685,8.595,8.64,171120,8.64
"2021-07-05",8.655,8.68,8.545,8.6,113504,8.6
"2021-07-06",8.555,8.585,8.41,8.425,152885,8.425
"2021-07-07",8.425,8.48,8.31,8.42,155210,8.42
"2021-07-08",8.405,8.405,8.245,8.345,315287,8.345
"2021-07-09",8.355,8.435,8.225,8.41,171454,8.41
"2021-07-12",8.44,8.515,8.335,8.515,211828,8.515
"2021-07-13",8.55,8.58,8.415,8.485,202750,8.485
"2021-07-14",8.435,8.535,8.405,8.515,130950,8.515
"2021-07-15",8.545,8.545,8.245,8.255,188229,8.255
"2021-07-16",8.3,8.3,8.13,8.155,191603,8.155
"2021-07-19",8.105,8.105,7.86,7.97,307831,7.97
"2021-07-20",8,8.285,7.955,8.035,449432,8.035
"2021-07-21",8.1,8.24,8.035,8.18,219346,8.18
"2021-07-22",8.25,8.265,8.165,8.195,149002,8.195
"2021-07-23",8.22,8.26,8.165,8.23,122245,8.23
"2021-07-26",8.21,8.285,8.07,8.285,176907,8.285
"2021-07-27",8.285,8.285,8.135,8.21,219093,8.21
"2021-07-28",8.37,8.47,7.925,8.01,606483,8.01
"2021-07-29",8.25,8.36,8.115,8.25,344648,8.25
"2021-07-30",8.325,8.325,8.02,8.055,228342,8.055
"2021-08-02",8.215,8.25,8.06,8.165,174722,8.165
"2021-08-03",8.18,8.18,8.04,8.045,190812,8.045
"2021-08-04",8.09,8.16,7.945,8,226218,8
"2021-08-05",8.03,8.04,7.895,7.99,171931,7.99
"2021-08-06",7.975,8.095,7.935,8.08,126801,8.08
"2021-08-09",8.095,8.215,8.06,8.135,173858,8.135
"2021-08-10",8.105,8.16,8.04,8.145,129346,8.145
"2021-08-11",8.145,8.175,8.045,8.13,127090,8.13
"2021-08-12",8.115,8.295,8.105,8.215,207837,8.215
"2021-08-13",8.3,8.33,8.225,8.275,181892,8.275
"2021-08-16",8.3,8.33,8.18,8.31,212324,8.31
"2021-08-17",8.32,8.38,8.22,8.3,189750,8.3
"2021-08-18",8.35,8.37,8.29,8.36,97506,8.36
"2021-08-19",8.25,8.275,8.15,8.19,163592,8.19
"2021-08-20",8.16,8.31,8.145,8.28,259880,8.28
"2021-08-23",8.375,8.445,8.295,8.38,264678,8.38
"2021-08-24",8.445,8.445,8.305,8.34,181736,8.34
"2021-08-25",8.36,8.45,8.31,8.415,218986,8.415
"2021-08-26",8.45,8.57,8.39,8.545,244019,8.545
"2021-08-27",8.52,8.64,8.485,8.61,221485,8.61
"2021-08-30",8.65,8.655,8.515,8.575,85160,8.575
"2021-08-31",8.57,8.585,8.435,8.495,217467,8.495
"2021-09-01",8.55,8.555,8.48,8.51,108017,8.51
"2021-09-02",8.52,8.54,8.445,8.465,81225,8.465
"2021-09-03",8.485,8.5,8.365,8.375,151533,8.375
"2021-09-06",8.415,8.45,8.355,8.43,75845,8.43
"2021-09-07",8.45,8.5,8.3,8.34,104285,8.34
"2021-09-08",8.35,8.55,8.275,8.515,226526,8.515
"2021-09-09",8.62,8.62,8.45,8.51,252346,8.51
"2021-09-10",8.51,8.515,8.44,8.47,126205,8.47
"2021-09-13",8.48,8.535,8.42,8.495,89765,8.495
"2021-09-14",8.62,8.71,8.575,8.595,339627,8.595
"2021-09-15",8.625,8.675,8.54,8.605,217557,8.605
"2021-09-16",8.63,8.7,8.515,8.54,168967,8.54
"2021-09-17",8.565,8.635,8.505,8.505,455306,8.505
"2021-09-20",8.52,8.52,8.345,8.47,230116,8.47
"2021-09-21",8.485,8.545,8.42,8.465,207416,8.465
"2021-09-22",8.48,8.655,8.48,8.655,197249,8.655
"2021-09-23",8.675,8.725,8.545,8.555,151348,8.555
"2021-09-24",8.5,8.555,8.475,8.505,104022,8.505
"2021-09-27",8.545,8.545,8.445,8.51,161550,8.51
"2021-09-28",8.455,8.51,8.375,8.395,141727,8.395
"2021-09-29",8.45,8.45,8.37,8.42,132965,8.42
"2021-09-30",8.56,8.56,8.44,8.51,178557,8.51
"2021-10-01",8.465,8.465,8.38,8.45,101286,8.45
"2021-10-04",8.42,8.535,8.375,8.46,128912,8.46
"2021-10-05",8.5,8.575,8.44,8.57,135708,8.57
"2021-10-06",8.53,8.53,8.39,8.39,219110,8.39
"2021-10-07",8.415,8.415,8.29,8.34,224121,8.34
"2021-10-08",8.33,8.5,8.33,8.43,229387,8.43
"2021-10-11",8.455,8.455,8.34,8.375,106005,8.375
"2021-10-12",8.32,8.355,8.27,8.33,124353,8.33
"2021-10-13",8.315,8.36,8.265,8.325,111023,8.325
"2021-10-14",8.335,8.42,8.26,8.41,229687,8.41
"2021-10-15",8.4,8.46,8.4,8.43,123043,8.43
"2021-10-18",8.4,8.49,8.375,8.4,140649,8.4
"2021-10-19",8.4,8.535,8.35,8.465,149039,8.465
"2021-10-20",8.505,8.535,8.34,8.465,140735,8.465
"2021-10-21",8.36,8.52,8.36,8.445,92958,8.445
"2021-10-22",8.44,8.51,8.395,8.455,122903,8.455
"2021-10-25",8.51,8.63,8.51,8.55,190827,8.55
"2021-10-26",8.53,8.545,8.415,8.525,239047,8.525
"2021-10-27",8.595,8.7,8.54,8.685,264999,8.685
"2021-10-28",8.7,8.7,8.535,8.655,215908,8.655
"2021-10-29",8.75,9.37,8.72,9.26,1258496,9.26
"2021-11-01",9.295,9.41,9.17,9.355,321564,9.355
"2021-11-02",9.32,9.365,9.07,9.14,206610,9.14
"2021-11-03",9.175,9.19,9.02,9.06,157161,9.06
"2021-11-04",9.055,9.115,8.59,8.68,969668,8.68
"2021-11-05",8.77,8.93,8.745,8.91,250738,8.91
"2021-11-08",8.93,8.99,8.89,8.945,149528,8.945
"2021-11-09",8.9,8.955,8.815,8.935,123072,8.935
"2021-11-10",9,9.07,8.965,9.025,129670,9.025
"2021-11-11",9.05,9.1,8.995,9.1,62799,9.1
"2021-11-12",9.16,9.16,9.01,9.06,70030,9.06
"2021-11-15",9.02,9.1,8.95,9.02,125434,9.02
"2021-11-16",9.02,9.02,8.8,8.8,147832,8.8
"2021-11-17",8.81,8.88,8.715,8.715,177762,8.715
"2021-11-18",8.76,8.875,8.675,8.82,221584,8.82
"2021-11-19",8.71,8.815,8.63,8.63,123910,8.63
"2021-11-22",8.65,8.71,8.525,8.59,121681,8.59
"2021-11-23",8.535,8.6,8.485,8.535,84069,8.535
"2021-11-24",8.535,8.58,8.47,8.5,170521,8.5
"2021-11-25",8.495,8.57,8.455,8.515,121152,8.515
"2021-11-26",8.3,8.54,8,8.4,645408,8.4
"2021-11-29",8.44,8.56,8.32,8.465,592028,8.465
"2021-11-30",8.35,8.535,8.115,8.5,386567,8.5
"2021-12-01",8.485,8.625,8.43,8.565,159732,8.565
"2021-12-02",8.53,8.57,8.42,8.565,287678,8.565
