"","ORA.PA.Open","ORA.PA.High","ORA.PA.Low","ORA.PA.Close","ORA.PA.Volume","ORA.PA.Adjusted"
"2021-05-20",10.418,10.452,10.396,10.418,6690243,9.8863
"2021-05-21",10.428,10.604,10.422,10.532,7248118,9.994481
"2021-05-24",10.53,10.564,10.502,10.536,2286030,9.998279
"2021-05-25",10.524,10.53,10.42,10.44,4666760,9.907177
"2021-05-26",10.452,10.504,10.384,10.426,4643553,9.893891
"2021-05-27",10.424,10.62,10.39,10.402,20632769,9.871117
"2021-05-28",10.452,10.52,10.436,10.476,5466260,9.941339
"2021-05-31",10.49,10.506,10.41,10.41,2764630,9.878709
"2021-06-01",10.44,10.5,10.426,10.448,3835287,9.914769
"2021-06-02",10.474,10.56,10.46,10.56,4704046,10.021053
"2021-06-03",10.524,10.56,10.456,10.55,4102753,10.011563
"2021-06-04",10.536,10.576,10.454,10.514,3544062,9.9774
"2021-06-07",10.532,10.562,10.448,10.52,4966718,9.983095
"2021-06-08",10.532,10.614,10.304,10.502,8033017,9.966013
"2021-06-09",10.51,10.594,10.486,10.588,4886439,10.047624
"2021-06-10",10.504,10.538,10.308,10.45,9087708,9.916667
"2021-06-11",10.472,10.478,10.35,10.412,6408569,9.880606
"2021-06-14",10.42,10.5,10.386,10.45,7004508,9.916667
"2021-06-15",9.992,10.112,9.95,10.112,9420090,9.783155
"2021-06-16",10.118,10.154,10.042,10.046,5386865,9.7193
"2021-06-17",10.04,10.05,9.971,10.018,5208229,9.692211
"2021-06-18",9.98,9.982,9.835,9.89,12259410,9.568375
"2021-06-21",9.877,9.918,9.805,9.904,5683964,9.58192
"2021-06-22",9.95,9.955,9.867,9.916,5016855,9.593529
"2021-06-23",9.904,9.905,9.653,9.657,11455390,9.342951
"2021-06-24",9.697,9.726,9.567,9.62,7572371,9.307155
"2021-06-25",9.62,9.661,9.554,9.608,6036782,9.295545
"2021-06-28",9.628,9.7,9.568,9.569,5842586,9.257813
"2021-06-29",9.585,9.644,9.562,9.563,4676192,9.252008
"2021-06-30",9.56,9.688,9.514,9.615,7404086,9.302318
"2021-07-01",9.667,9.714,9.609,9.664,4334009,9.349724
"2021-07-02",9.662,9.716,9.565,9.605,6728468,9.292643
"2021-07-05",9.61,9.61,9.525,9.597,3828585,9.284903
"2021-07-06",9.587,9.628,9.502,9.534,4796948,9.223952
"2021-07-07",9.518,9.52,9.366,9.433,11585326,9.126236
"2021-07-08",9.4,9.4,9.283,9.368,10053414,9.06335
"2021-07-09",9.37,9.519,9.332,9.485,8148979,9.176545
"2021-07-12",9.49,9.6,9.468,9.592,5920348,9.280066
"2021-07-13",9.584,9.672,9.551,9.62,6338832,9.307155
"2021-07-14",9.604,9.65,9.526,9.594,4704988,9.282001
"2021-07-15",9.592,9.592,9.458,9.531,4894797,9.221049
"2021-07-16",9.544,9.629,9.526,9.593,6052695,9.281034
"2021-07-19",9.547,9.559,9.291,9.364,8501734,9.059481
"2021-07-20",9.415,9.506,9.359,9.368,6697773,9.06335
"2021-07-21",9.4,9.531,9.354,9.485,6089137,9.176545
"2021-07-22",9.5,9.54,9.453,9.462,4863447,9.154293
"2021-07-23",9.528,9.548,9.449,9.524,3895354,9.214277
"2021-07-26",9.488,9.623,9.444,9.623,5795848,9.310058
"2021-07-27",9.633,9.676,9.566,9.66,5281399,9.345854
"2021-07-28",9.653,9.675,9.559,9.627,4654614,9.313927
"2021-07-29",9.39,9.41,9.17,9.313,19139664,9.010139
"2021-07-30",9.37,9.514,9.296,9.395,11796298,9.089472
"2021-08-02",9.414,9.456,9.365,9.445,4953394,9.137846
"2021-08-03",9.445,9.536,9.436,9.508,4330320,9.198797
"2021-08-04",9.498,9.547,9.473,9.477,4420702,9.168805
"2021-08-05",9.485,9.52,9.45,9.47,4222414,9.162033
"2021-08-06",9.461,9.533,9.395,9.524,4508960,9.214277
"2021-08-09",9.524,9.558,9.503,9.536,4254762,9.225886
"2021-08-10",9.536,9.546,9.483,9.525,4119351,9.215244
"2021-08-11",9.538,9.585,9.516,9.549,2949604,9.238463
"2021-08-12",9.567,9.664,9.567,9.572,4385959,9.260715
"2021-08-13",9.572,9.626,9.558,9.626,4855549,9.31296
"2021-08-16",9.602,9.642,9.558,9.604,4110012,9.291676
"2021-08-17",9.603,9.638,9.545,9.617,4103544,9.304252
"2021-08-18",9.606,9.73,9.606,9.696,5462611,9.380683
"2021-08-19",9.665,9.78,9.604,9.689,8813138,9.373911
"2021-08-20",9.706,9.863,9.684,9.82,7100923,9.50065
"2021-08-23",9.86,9.89,9.78,9.794,4778541,9.475496
"2021-08-24",9.8,9.812,9.7,9.763,4019597,9.445504
"2021-08-25",9.754,9.809,9.73,9.761,3103321,9.443569
"2021-08-26",9.75,9.758,9.68,9.694,3647645,9.378749
"2021-08-27",9.69,9.7,9.637,9.679,3442938,9.364236
"2021-08-30",9.661,9.678,9.61,9.678,3365638,9.363269
"2021-08-31",9.688,9.696,9.55,9.62,11870367,9.307155
"2021-09-01",9.65,9.736,9.64,9.646,6292140,9.332309
"2021-09-02",9.65,9.678,9.589,9.589,4128158,9.277163
"2021-09-03",9.607,9.636,9.479,9.549,4977795,9.238463
"2021-09-06",9.553,9.57,9.454,9.535,3398432,9.224919
"2021-09-07",9.565,9.61,9.471,9.514,3471513,9.204602
"2021-09-08",9.485,9.546,9.436,9.546,6092750,9.23556
