"","RNO.PA.Open","RNO.PA.High","RNO.PA.Low","RNO.PA.Close","RNO.PA.Volume","RNO.PA.Adjusted"
"2021-03-30",36.634998,37.665001,36.549999,37.645,1375874,37.645
"2021-03-31",37.634998,38.185001,36.880001,36.93,1472610,36.93
"2021-04-01",37.005001,38.130001,36.900002,37.959999,1302889,37.959999
"2021-04-06",38.459999,39.075001,38.189999,38.189999,1228266,38.189999
"2021-04-07",38.32,38.959999,37.384998,37.705002,1157529,37.705002
"2021-04-08",37.880001,38,36.029999,36.395,2093966,36.395
"2021-04-09",36.384998,36.735001,35.689999,35.814999,1358883,35.814999
"2021-04-12",35.689999,36.380001,35.525002,35.755001,1395047,35.755001
"2021-04-13",35.59,35.845001,34.779999,35.099998,1442937,35.099998
"2021-04-14",35.189999,35.724998,35.084999,35.540001,1315472,35.540001
"2021-04-15",35.595001,35.98,35.264999,35.32,1026116,35.32
"2021-04-16",35.685001,36.48,35.654999,36.130001,1368909,36.130001
"2021-04-19",36.299999,36.365002,35.619999,36.130001,808095,36.130001
"2021-04-20",36.029999,36.119999,34.474998,34.5,1523057,34.5
"2021-04-21",34.580002,35.115002,33.595001,34.535,1677898,34.535
"2021-04-22",34.529999,34.924999,33.654999,34.075001,1591318,34.075001
"2021-04-23",33.740002,34.27,33.360001,33.724998,1112939,33.724998
"2021-04-26",33.575001,34.314999,32.93,34.314999,1376871,34.314999
"2021-04-27",34.384998,34.575001,33.825001,34.48,872972,34.48
"2021-04-28",34.630001,35.395,34.345001,35.105,1156642,35.105
"2021-04-29",35.330002,35.400002,33.349998,33.634998,1639437,33.634998
"2021-04-30",33.59,33.814999,33.285,33.525002,1055311,33.525002
"2021-05-03",33.580002,34.255001,33.34,34.119999,790776,34.119999
"2021-05-04",34.110001,34.459999,33.25,33.43,1207354,33.43
"2021-05-05",33.73,34.474998,33.439999,34.474998,1422133,34.474998
"2021-05-06",34.619999,34.84,33.869999,34.389999,1170402,34.389999
"2021-05-07",34.57,34.605,33.904999,34.150002,1073657,34.150002
"2021-05-10",34.48,35.470001,34.450001,35.345001,1341447,35.345001
"2021-05-11",34.654999,34.895,32.845001,33.07,2672259,33.07
"2021-05-12",32.970001,33.040001,31.825001,32.654999,1875458,32.654999
"2021-05-13",32.224998,32.634998,31.450001,32.349998,907115,32.349998
"2021-05-14",32.630001,33.485001,31.969999,33.404999,1016282,33.404999
"2021-05-17",33.5,33.855,33.275002,33.685001,830988,33.685001
"2021-05-18",33.970001,34.610001,33.165001,33.740002,1369919,33.740002
"2021-05-19",32.900002,33.389999,31.855,32.314999,1515390,32.314999
"2021-05-20",32.560001,32.615002,31.790001,32.360001,1041501,32.360001
"2021-05-21",32.48,33.044998,32.41,32.549999,1328431,32.549999
"2021-05-24",32.740002,33.145,32.66,33.009998,556405,33.009998
"2021-05-25",33.200001,33.48,32.855,33.07,780402,33.07
"2021-05-26",33.02,33.369999,32.580002,33.285,779896,33.285
"2021-05-27",33.224998,34.330002,33.080002,34.209999,1660928,34.209999
"2021-05-28",34.400002,34.810001,34.080002,34.125,1043986,34.125
"2021-05-31",34,34.16,33.744999,33.834999,662597,33.834999
"2021-06-01",34.075001,34.470001,33.924999,34.02,926968,34.02
"2021-06-02",34.134998,34.610001,33.880001,34.580002,707683,34.580002
"2021-06-03",34.639999,34.955002,34.244999,34.860001,887152,34.860001
"2021-06-04",34.865002,34.924999,34.009998,34.18,675605,34.18
"2021-06-07",34.18,34.654999,34.029999,34.509998,683858,34.509998
"2021-06-08",34.41,34.759998,33.924999,34.474998,980169,34.474998
"2021-06-09",34.369999,34.674999,33.994999,34.615002,951603,34.615002
"2021-06-10",34.505001,35.119999,34.110001,34.470001,1005086,34.470001
