"","MC.PA.Open","MC.PA.High","MC.PA.Low","MC.PA.Close","MC.PA.Volume","MC.PA.Adjusted"
"2021-04-12",588.799988,591.900024,583.5,589.700012,286923,583.404175
"2021-04-13",590.099976,596.799988,587.599976,594.799988,443772,588.449707
"2021-04-14",610,614,606.099976,611.799988,577458,605.268188
"2021-04-15",610.900024,616.700012,604.900024,616.700012,518798,610.115906
"2021-04-16",617.099976,630.5,614.799988,630,587186,623.273865
"2021-04-19",632.200012,632.799988,622.599976,624.900024,328492,618.228333
"2021-04-20",621.299988,622.599976,605.099976,605.299988,570894,602.695435
"2021-04-21",605,627.799988,603.299988,624.599976,515257,621.912354
"2021-04-22",628,637.700012,626.700012,632,436028,629.280579
"2021-04-23",630.400024,634,623.900024,628.099976,366234,625.397339
"2021-04-26",623.900024,629.599976,622,625.799988,265587,623.107239
"2021-04-27",625,633.900024,623.900024,632.700012,320541,629.977539
"2021-04-28",632.700012,635.299988,628.599976,633.200012,262268,630.475403
"2021-04-29",635.900024,639.900024,632.200012,635.700012,290676,632.964661
"2021-04-30",635.5,637.700012,625.700012,626.200012,349054,623.505554
"2021-05-03",627.299988,635.299988,627.299988,630.599976,242931,627.886536
"2021-05-04",631.299988,632.599976,617.200012,618.900024,413624,616.236938
"2021-05-05",622.900024,631.799988,622.599976,631.799988,374426,629.081421
"2021-05-06",628.599976,629.900024,623.299988,625.299988,356074,622.609375
"2021-05-07",630,631.400024,621.799988,631.400024,342019,628.683167
"2021-05-10",631.700012,632.099976,622.599976,625,349795,622.310669
"2021-05-11",615.5,618.400024,608.900024,612.299988,579901,609.665283
"2021-05-12",609.5,619.299988,607.700012,610.200012,421915,607.574341
"2021-05-13",606,618.5,600,616,349967,613.349426
"2021-05-14",624.5,628.099976,621.299988,628.099976,336426,625.397339
"2021-05-17",630,632.5,621.900024,624,224482,621.315002
"2021-05-18",627.900024,630.700012,620.5,623,268294,620.319275
"2021-05-19",619.5,621.5,610.200012,619.099976,381205,616.436035
"2021-05-20",622,628.900024,621.299988,628.900024,362431,626.193909
"2021-05-21",629.5,634.400024,628.599976,631.599976,376258,628.882263
"2021-05-24",634,637.5,632.700012,637.5,115728,634.756897
"2021-05-25",638.099976,642.599976,636.400024,639.700012,325085,636.947449
"2021-05-26",642.200012,644.299988,638.700012,640.599976,295544,637.843506
"2021-05-27",640.900024,652.700012,636.700012,648.400024,638562,645.609985
"2021-05-28",648.799988,656.299988,648.700012,655.799988,256995,652.978149
"2021-05-31",656.799988,660.5,651.200012,652,228797,649.194519
"2021-06-01",655.599976,660.400024,652.700012,657.099976,294765,654.272522
"2021-06-02",658.599976,661.900024,652.900024,661,295829,658.155762
"2021-06-03",659.200012,662.900024,652.700012,654.299988,290169,651.484558
"2021-06-04",655,656.299988,649.299988,651.200012,281922,648.397949
"2021-06-07",650.900024,657.299988,646.400024,657.299988,369275,654.47168
"2021-06-08",657.799988,664.5,653.299988,659.700012,290421,656.861389
"2021-06-09",667,667.5,660.400024,662.5,232801,659.649292
"2021-06-10",665,665.599976,654,657.700012,285497,654.869995
"2021-06-11",658.400024,671.900024,657.5,668.099976,353511,665.22522
"2021-06-14",673.799988,676.200012,668.700012,672.599976,255313,669.705811
"2021-06-15",676.599976,680.700012,674.299988,677.799988,279296,674.883484
"2021-06-16",680.099976,683.5,675.700012,682.299988,320891,679.364136
"2021-06-17",683,688.200012,677,687.299988,331198,684.34259
"2021-06-18",687,698.900024,681.099976,681.099976,695141,678.16925
"2021-06-21",677,684.400024,673.599976,680.099976,308185,677.173584
"2021-06-22",680,684.200012,675.700012,681.200012,299207,678.26886
"2021-06-23",681.200012,682.599976,667.799988,669.099976,337572,666.220886
"2021-06-24",673.200012,677.799988,671.400024,673.200012,346811,670.303284
"2021-06-25",673.900024,677.299988,670.299988,673.599976,242811,670.701538
"2021-06-28",670.700012,673.200012,666.599976,667.599976,252827,664.727356
"2021-06-29",667.099976,677.5,666.900024,674,271145,671.099854
"2021-06-30",676,677.299988,661.299988,661.299988,556819,658.454468
"2021-07-01",665.200012,671,658.5,663.900024,325479,661.043335
"2021-07-02",662.900024,666.099976,660.599976,663.400024,225664,660.545471
"2021-07-05",660.900024,666.099976,659,660.700012,178377,657.857056
"2021-07-06",659,662.200012,652.400024,655.799988,290716,652.978149
"2021-07-07",655,666,654.700012,660.400024,378366,657.55835
"2021-07-08",655.700012,657.200012,631.700012,639.200012,734077,636.449585
"2021-07-09",647.5,663.900024,645.400024,662.400024,599503,659.549744
"2021-07-12",662,668,654.700012,666,255319,663.134277
"2021-07-13",668.799988,670.700012,664.200012,670.700012,312845,667.814026
"2021-07-14",666.200012,671.599976,664.5,671.599976,180869,668.710144
"2021-07-15",671.099976,677,660.799988,663.200012,306416,660.346313
"2021-07-16",667.099976,669.5,647.200012,654.299988,455783,651.484558
"2021-07-19",648.599976,649,635.099976,639.900024,496713,637.146606
"2021-07-20",644,651,638.799988,645.099976,324696,642.324158
"2021-07-21",649.5,659.900024,648.900024,659.200012,288289,656.363525
"2021-07-22",660,664.5,654.900024,660.400024,391518,657.55835
"2021-07-23",665,674.400024,658.900024,674,411886,671.099854
"2021-07-26",670,676.900024,667.299988,673.400024,347405,670.502441
"2021-07-27",683,688.299988,669.200012,669.599976,474408,666.71875
"2021-07-28",669.400024,688.299988,665.599976,688.200012,324397,685.23877
"2021-07-29",692,692,680.5,684,255100,681.056824
"2021-07-30",675.200012,682.700012,671.700012,673.900024,425011,671.000305
"2021-08-02",678.900024,687.299988,677,687,324652,684.043884
"2021-08-03",690.599976,700.700012,685.799988,695.900024,341567,692.90564
"2021-08-04",698.900024,702.799988,692.700012,694.700012,278285,691.710754
"2021-08-05",692.099976,701.299988,692,697.400024,268502,694.39917
"2021-08-06",695.900024,702.299988,693.400024,697.400024,287106,694.39917
"2021-08-09",698.099976,700.299988,696.099976,697.400024,166437,694.39917
"2021-08-10",699.900024,705.5,698.099976,701.599976,230097,698.581055
"2021-08-11",703.599976,706.700012,697.900024,704.799988,211136,701.767273
"2021-08-12",704.799988,712.099976,703.900024,712,276394,708.93634
"2021-08-13",713,716.599976,707.799988,709.799988,219593,706.745789
"2021-08-16",705.099976,706.400024,691.400024,694.900024,315345,691.909912
"2021-08-17",691.200012,694.700012,686,690.5,326360,687.528809
"2021-08-18",690.5,691.400024,653.700012,654.900024,699154,652.082031
"2021-08-19",635.299988,640,611,613.099976,1493477,610.461853
"2021-08-20",613.200012,624.400024,610.5,620,843005,617.332214
"2021-08-23",628.5,641.799988,626.200012,636.599976,728161,633.860718
"2021-08-24",646,647.200012,624.299988,624.299988,500424,621.613647
"2021-08-25",625,628.200012,620,622.099976,412050,619.423157
"2021-08-26",620,623.5,612.400024,621.599976,425086,618.925293
"2021-08-27",621,624.299988,616.900024,623.099976,340808,620.418823
"2021-08-30",625,629.799988,622.799988,625,291687,622.310669
"2021-08-31",627.099976,629,624.099976,626.799988,541313,624.102905
"2021-09-01",631.900024,651,631.599976,646.799988,596692,644.016846
"2021-09-02",647.599976,653.099976,644.099976,647,320818,644.216003
"2021-09-03",646.599976,646.599976,633.200012,634.900024,393248,632.168091
"2021-09-06",639.599976,650.5,637.200012,648.700012,262291,645.908691
"2021-09-07",653,658.799988,650.200012,653,340478,650.190186
"2021-09-08",652,654.799988,643.400024,648.700012,385265,645.908691
"2021-09-09",641.900024,661.099976,638.900024,658.400024,411139,655.566956
"2021-09-10",670.5,674.5,661.900024,663.5,388397,660.64502
"2021-09-13",666,669,654.099976,657,349720,654.172974
"2021-09-14",654.299988,655.5,638.200012,646.799988,397133,644.016846
"2021-09-15",645.200012,645.200012,617.700012,621.200012,706373,618.527039
"2021-09-16",623.5,634.599976,621.299988,628,475856,625.297791
"2021-09-17",634.299988,645.200012,627,631,863299,628.284851
"2021-09-20",615,623,605.400024,618.700012,764691,616.037781
"2021-09-21",622.599976,636,621,636,490753,633.263367
"2021-09-22",646.5,649.099976,639.099976,643.299988,403326,640.531921
"2021-09-23",649.700012,656.400024,643.700012,654.099976,392213,651.285461
"2021-09-24",647.5,648.5,638.400024,642.900024,371010,640.133667
"2021-09-27",648.299988,651.400024,633.299988,637.5,297614,634.756897
"2021-09-28",635,636.5,616.700012,617.900024,627324,615.241272
"2021-09-29",626,632.799988,623.299988,625.5,355217,622.808533
"2021-09-30",631,634.299988,619.5,620.099976,596940,617.431763
"2021-10-01",614,631.5,610,630,448089,627.289185
"2021-10-04",622.5,632,617.5,621.099976,346834,618.427429
"2021-10-05",623.099976,634,620.900024,632.5,329281,629.778381
"2021-10-06",625,627.599976,615.099976,624.799988,458312,622.111511
"2021-10-07",634.5,641,633.299988,637.900024,439881,635.155212
"2021-10-08",638.400024,640.700012,624.5,627.700012,386925,624.999084
"2021-10-11",625.299988,634.099976,619.900024,631.700012,261049,628.981873
"2021-10-12",627,635.5,624.599976,633.900024,369383,631.172424
"2021-10-13",636,658.5,630.599976,653.900024,627178,651.086365
"2021-10-14",660,668.599976,651.099976,667.200012,460568,664.329102
"2021-10-15",672,674,664.799988,664.799988,542414,661.939392
"2021-10-18",659,659.299988,638,650,414414,647.203125
"2021-10-19",653,654.400024,641.099976,646,305206,643.220337
"2021-10-20",643.700012,659.099976,639.5,656.099976,408236,653.276855
"2021-10-21",651.099976,660.900024,646.400024,659.700012,264050,656.861389
"2021-10-22",663,676.700012,662.200012,667.299988,423275,664.42865
"2021-10-25",667.900024,669.400024,657.799988,659.799988,239985,656.960938
"2021-10-26",660.400024,667.599976,656.599976,665,293673,662.13855
"2021-10-27",659.599976,667.5,659.599976,664.299988,252036,661.441528
"2021-10-28",662.5,672.400024,661,671.700012,302241,668.809753
"2021-10-29",667.299988,677.200012,662,677.200012,434079,674.286072
"2021-11-01",680,685.299988,674.200012,683.400024,320108,680.459412
"2021-11-02",684.5,689.799988,680.700012,684.799988,285336,681.853333
"2021-11-03",684.200012,688.599976,680.299988,682.5,350677,679.563232
"2021-11-04",687,693.299988,685.599976,692.5,348282,689.520203
"2021-11-05",691.200012,711.400024,689.599976,708.900024,524883,705.84967
"2021-11-08",714.900024,718.700012,705.200012,707.400024,317489,704.35614
"2021-11-09",703.200012,712.299988,698.900024,707.299988,337111,704.256531
"2021-11-10",703.200012,704.400024,688.900024,698.599976,349382,695.593933
"2021-11-11",694.700012,706,694,705.400024,272715,702.364746
"2021-11-12",706,726.599976,705.900024,722.900024,412199,719.789429
"2021-11-15",719.299988,724.299988,716,720.799988,433662,717.698425
"2021-11-16",724.5,731.700012,724.400024,729.700012,419771,726.560181
