"","UBI.PA.Open","UBI.PA.High","UBI.PA.Low","UBI.PA.Close","UBI.PA.Volume","UBI.PA.Adjusted"
"2021-04-07",66.940002,67.220001,66.339996,66.639999,511600,66.639999
"2021-04-08",66.839996,67.699997,66.620003,67.440002,434077,67.440002
"2021-04-09",67.639999,68.279999,67.139999,67.839996,555153,67.839996
"2021-04-12",68.360001,68.839996,66.620003,66.620003,428777,66.620003
"2021-04-13",66.480003,67.279999,66.099998,67.059998,321860,67.059998
"2021-04-14",67.5,67.620003,65.580002,65.639999,364327,65.639999
"2021-04-15",65.800003,66.18,65.440002,65.900002,319798,65.900002
"2021-04-16",65.660004,66.18,64.879997,64.959999,341322,64.959999
"2021-04-19",65.220001,66.480003,65.199997,65.779999,351558,65.779999
"2021-04-20",65.860001,66,64.440002,64.940002,409459,64.940002
"2021-04-21",65,65,63.700001,64.440002,384815,64.440002
"2021-04-22",64.540001,65.019997,64.220001,64.720001,371246,64.720001
"2021-04-23",64.660004,65.540001,64.139999,64.480003,330533,64.480003
"2021-04-26",64.199997,64.940002,63.84,64.839996,273582,64.839996
"2021-04-27",64.779999,65.620003,63.900002,63.98,303527,63.98
"2021-04-28",64,65.059998,63.759998,64.059998,460700,64.059998
"2021-04-29",64.400002,64.68,63.34,63.360001,342460,63.360001
"2021-04-30",63.5,63.759998,62.459999,62.459999,496320,62.459999
"2021-05-03",62.639999,63.419998,62.259998,62.720001,202122,62.720001
"2021-05-04",62.759998,62.959999,60.98,60.98,457442,60.98
"2021-05-05",60.98,62.220001,60.779999,61.200001,507523,61.200001
"2021-05-06",60.98,61.040001,59.779999,60.880001,466451,60.880001
"2021-05-07",61.5,63.32,61.48,62.82,556322,62.82
"2021-05-10",62.700001,63.32,61.900002,62.900002,535703,62.900002
"2021-05-11",62.400002,62.599998,60.48,61.639999,526279,61.639999
"2021-05-12",59.900002,60.459999,54.02,54.82,2713428,54.82
"2021-05-13",54,54.700001,53.18,53.419998,1376117,53.419998
"2021-05-14",53.360001,54.459999,51.939999,54.400002,988095,54.400002
"2021-05-17",55.52,56.279999,54.48,54.779999,553858,54.779999
"2021-05-18",56.580002,58.48,56.400002,57.540001,864239,57.540001
"2021-05-19",57.299999,58.560001,56.34,58.16,753553,58.16
"2021-05-20",58.34,59.139999,57.860001,58.52,611165,58.52
"2021-05-21",58.700001,59.099998,58.34,58.639999,512802,58.639999
"2021-05-24",58.599998,59.200001,58.16,58.400002,279337,58.400002
"2021-05-25",58.400002,58.84,57.220001,58,593817,58
"2021-05-26",58.259998,58.779999,57.98,58.380001,516063,58.380001
"2021-05-27",58.700001,60.880001,58.700001,60.32,1304275,60.32
"2021-05-28",60.66,61.439999,59.860001,59.900002,651946,59.900002
"2021-05-31",60.200001,60.740002,59.959999,59.959999,243442,59.959999
"2021-06-01",59.82,60.32,59.139999,59.32,372298,59.32
"2021-06-02",59.139999,59.400002,57.740002,58.200001,400462,58.200001
"2021-06-03",58.240002,58.98,57.400002,57.400002,427934,57.400002
"2021-06-04",57.540001,57.759998,56.82,57.759998,431347,57.759998
"2021-06-07",57.799999,58.200001,56.779999,57.82,334159,57.82
"2021-06-08",57.900002,58.02,57.34,57.560001,242433,57.560001
"2021-06-09",57.740002,58.18,57.400002,58.139999,237974,58.139999
"2021-06-10",58.32,58.439999,57.599998,58.400002,233304,58.400002
"2021-06-11",58.740002,59.700001,58.439999,59.439999,354622,59.439999
"2021-06-14",59.619999,60.279999,59.220001,59.84,390758,59.84
"2021-06-15",59.84,59.919998,59,59.259998,359589,59.259998
"2021-06-16",59,60.02,58.639999,59.68,408316,59.68
"2021-06-17",59.34,59.48,58.119999,59.200001,405618,59.200001
"2021-06-18",59.200001,59.779999,58.5,59.099998,840527,59.099998
"2021-06-21",58.740002,58.919998,57.459999,57.98,316185,57.98
"2021-06-22",57.880001,58.48,57.599998,58.360001,236093,58.360001
"2021-06-23",58.400002,58.84,58.139999,58.200001,265264,58.200001
"2021-06-24",58.419998,58.700001,57.900002,58.080002,253732,58.080002
"2021-06-25",58.099998,58.32,57.799999,57.860001,273778,57.860001
"2021-06-28",57.900002,58.66,57.700001,58.560001,330823,58.560001
"2021-06-29",58.560001,59.5,58.560001,58.68,287009,58.68
"2021-06-30",58.860001,59.639999,58.799999,59.040001,437838,59.040001
"2021-07-01",59.16,60.439999,58.900002,60.099998,468628,60.099998
"2021-07-02",60.380001,61.139999,59.66,60.860001,373984,60.860001
"2021-07-05",60.84,60.880001,60.02,60.48,146664,60.48
"2021-07-06",60.299999,61.599998,60.279999,61.599998,321791,61.599998
"2021-07-07",61.619999,62.080002,61.040001,61.48,406101,61.48
"2021-07-08",61.299999,61.400002,59.580002,59.580002,528734,59.580002
"2021-07-09",59.860001,60.439999,59.34,59.779999,439733,59.779999
"2021-07-12",60,60.860001,59.759998,59.900002,290205,59.900002
"2021-07-13",59.919998,60.099998,58.599998,58.939999,387013,58.939999
"2021-07-14",58.84,59.119999,57.299999,58.060001,324054,58.060001
"2021-07-15",57.919998,59.040001,57.139999,57.34,464883,57.34
